,actor_name,filmo,filmo_code,code
1,파토르 A. 굽트,스탠리의 도시락,20124726,20127326
2,마티유 아말릭,어느 예술가의 마지막 일주일,20134484,10024645
3,마리아 드 메데이로스,어느 예술가의 마지막 일주일,20134484,10021861
4,이사벨라 로셀리니,어느 예술가의 마지막 일주일,20134484,10055807
7,에만 소르 오냐,치코와 리타,20113501,20125850
8,리마라 메니시스,치코와 리타,20113501,20125858
9,유동근,슈퍼피쉬 - 끝없는 여정,20138502,10053579
15,황정민,밍크코트,20112781,20111869
16,김미향,밍크코트,20112781,10004158
17,정희성,밍크코트,20112781,20179874
18,이상철,밍크코트,20112781,10055906
19,이재희,밍크코트,20112781,20181624
20,노형석,밍크코트,20112781,20182249
21,노형석,밍크코트,20112781,20182249
22,박상욱,밍크코트,20112781,20030332
23,박지만,밍크코트,20112781,20183231
24,신아가,밍크코트,20112781,10040487
25,신준호,밍크코트,20112781,20111222
34,테일러 키취,존 카터: 바숨 전쟁의 서막,20124629,10079954
35,린 콜린스,존 카터: 바숨 전쟁의 서막,20124629,10020846
36,윌렘 데포,존 카터: 바숨 전쟁의 서막,20124629,10053013
37,사만다 모튼,존 카터: 바숨 전쟁의 서막,20124629,10034033
38,성룡,쿵후팬더: 영웅의 탄생,20139263,10035836
39,임자총,쿵후팬더: 영웅의 탄생,20139263,10058744
40,엄상현,쿵후팬더: 영웅의 탄생,20139263,10047326
41,양유진,쿵후팬더: 영웅의 탄생,20139263,20174742
42,홍진욱,쿵후팬더: 영웅의 탄생,20139263,10089884
43,임채헌,쿵후팬더: 영웅의 탄생,20139263,20174743
44,이재인,쿵후팬더: 영웅의 탄생,20139263,20174744
45,박상훈,쿵후팬더: 영웅의 탄생,20139263,20174745
46,이재범,쿵후팬더: 영웅의 탄생,20139263,20174746
47,김경희,쿵후팬더: 영웅의 탄생,20139263,20174747
48,임경명,쿵후팬더: 영웅의 탄생,20139263,20167320
49,로맹 뒤리스,빅 픽처,20134044,10016462
50,마리나 포이스,빅 픽처,20134044,10021807
51,까뜨린느 드뇌브,빅 픽처,20134044,10006581
52,닐스 아르스트럽,빅 픽처,20134044,10009099
